"brand","model","product_id","temperature_c","estimated_psi","point_status","reference_psi","reference_temperature_c","model_id","curve_group_id","silicone","sku","ean","confidence","inside_published_operating_range"
"ASG Ultrair","Green Power Gas 135 PSI — siliconé","asg-ultrair-green-135-silicone","-4","81.4","extrapolated_propane_ratio","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","yes","19893","5707843091152","high","false"
"ASG Ultrair","Green Power Gas 135 PSI — siliconé","asg-ultrair-green-135-silicone","-3","84","extrapolated_propane_ratio","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","yes","19893","5707843091152","high","false"
"ASG Ultrair","Green Power Gas 135 PSI — siliconé","asg-ultrair-green-135-silicone","-2","86.65","extrapolated_propane_ratio","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","yes","19893","5707843091152","high","false"
"ASG Ultrair","Green Power Gas 135 PSI — siliconé","asg-ultrair-green-135-silicone","-1","89.37","extrapolated_propane_ratio","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","yes","19893","5707843091152","high","false"
"ASG Ultrair","Green Power Gas 135 PSI — siliconé","asg-ultrair-green-135-silicone","0","92.15","extrapolated_propane_ratio","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","yes","19893","5707843091152","high","false"
"ASG Ultrair","Green Power Gas 135 PSI — siliconé","asg-ultrair-green-135-silicone","1","94.99","extrapolated_propane_ratio","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","yes","19893","5707843091152","high","false"
"ASG Ultrair","Green Power Gas 135 PSI — siliconé","asg-ultrair-green-135-silicone","2","97.89","extrapolated_propane_ratio","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","yes","19893","5707843091152","high","false"
"ASG Ultrair","Green Power Gas 135 PSI — siliconé","asg-ultrair-green-135-silicone","3","100.86","extrapolated_propane_ratio","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","yes","19893","5707843091152","high","false"
"ASG Ultrair","Green Power Gas 135 PSI — siliconé","asg-ultrair-green-135-silicone","4","103.9","extrapolated_propane_ratio","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","yes","19893","5707843091152","high","false"
"ASG Ultrair","Green Power Gas 135 PSI — siliconé","asg-ultrair-green-135-silicone","5","107","manufacturer_test_point","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","yes","19893","5707843091152","high","false"
"ASG Ultrair","Green Power Gas 135 PSI — siliconé","asg-ultrair-green-135-silicone","6","108.4","interpolated_manufacturer_grid","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","yes","19893","5707843091152","high","false"
"ASG Ultrair","Green Power Gas 135 PSI — siliconé","asg-ultrair-green-135-silicone","7","109.8","interpolated_manufacturer_grid","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","yes","19893","5707843091152","high","false"
"ASG Ultrair","Green Power Gas 135 PSI — siliconé","asg-ultrair-green-135-silicone","8","111.2","interpolated_manufacturer_grid","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","yes","19893","5707843091152","high","false"
"ASG Ultrair","Green Power Gas 135 PSI — siliconé","asg-ultrair-green-135-silicone","9","112.6","interpolated_manufacturer_grid","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","yes","19893","5707843091152","high","false"
"ASG Ultrair","Green Power Gas 135 PSI — siliconé","asg-ultrair-green-135-silicone","10","114","manufacturer_test_point","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","yes","19893","5707843091152","high","true"
"ASG Ultrair","Green Power Gas 135 PSI — siliconé","asg-ultrair-green-135-silicone","11","115.4","interpolated_manufacturer_grid","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","yes","19893","5707843091152","high","true"
"ASG Ultrair","Green Power Gas 135 PSI — siliconé","asg-ultrair-green-135-silicone","12","116.8","interpolated_manufacturer_grid","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","yes","19893","5707843091152","high","true"
"ASG Ultrair","Green Power Gas 135 PSI — siliconé","asg-ultrair-green-135-silicone","13","118.2","interpolated_manufacturer_grid","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","yes","19893","5707843091152","high","true"
"ASG Ultrair","Green Power Gas 135 PSI — siliconé","asg-ultrair-green-135-silicone","14","119.6","interpolated_manufacturer_grid","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","yes","19893","5707843091152","high","true"
"ASG Ultrair","Green Power Gas 135 PSI — siliconé","asg-ultrair-green-135-silicone","15","121","manufacturer_test_point","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","yes","19893","5707843091152","high","true"
"ASG Ultrair","Green Power Gas 135 PSI — siliconé","asg-ultrair-green-135-silicone","16","122.8","interpolated_manufacturer_grid","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","yes","19893","5707843091152","high","true"
"ASG Ultrair","Green Power Gas 135 PSI — siliconé","asg-ultrair-green-135-silicone","17","124.6","interpolated_manufacturer_grid","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","yes","19893","5707843091152","high","true"
"ASG Ultrair","Green Power Gas 135 PSI — siliconé","asg-ultrair-green-135-silicone","18","126.4","interpolated_manufacturer_grid","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","yes","19893","5707843091152","high","true"
"ASG Ultrair","Green Power Gas 135 PSI — siliconé","asg-ultrair-green-135-silicone","19","128.2","interpolated_manufacturer_grid","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","yes","19893","5707843091152","high","true"
"ASG Ultrair","Green Power Gas 135 PSI — siliconé","asg-ultrair-green-135-silicone","20","130","manufacturer_test_point","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","yes","19893","5707843091152","high","true"
"ASG Ultrair","Green Power Gas 135 PSI — siliconé","asg-ultrair-green-135-silicone","21","131","interpolated_manufacturer_grid","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","yes","19893","5707843091152","high","true"
"ASG Ultrair","Green Power Gas 135 PSI — siliconé","asg-ultrair-green-135-silicone","22","132","interpolated_manufacturer_grid","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","yes","19893","5707843091152","high","true"
"ASG Ultrair","Green Power Gas 135 PSI — siliconé","asg-ultrair-green-135-silicone","23","133","interpolated_manufacturer_grid","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","yes","19893","5707843091152","high","true"
"ASG Ultrair","Green Power Gas 135 PSI — siliconé","asg-ultrair-green-135-silicone","24","134","interpolated_manufacturer_grid","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","yes","19893","5707843091152","high","true"
"ASG Ultrair","Green Power Gas 135 PSI — siliconé","asg-ultrair-green-135-silicone","25","135","manufacturer_test_point","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","yes","19893","5707843091152","high","true"
"ASG Ultrair","Green Power Gas 135 PSI — siliconé","asg-ultrair-green-135-silicone","26","139.2","interpolated_manufacturer_grid","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","yes","19893","5707843091152","high","true"
"ASG Ultrair","Green Power Gas 135 PSI — siliconé","asg-ultrair-green-135-silicone","27","143.4","interpolated_manufacturer_grid","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","yes","19893","5707843091152","high","true"
"ASG Ultrair","Green Power Gas 135 PSI — siliconé","asg-ultrair-green-135-silicone","28","147.6","interpolated_manufacturer_grid","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","yes","19893","5707843091152","high","true"
"ASG Ultrair","Green Power Gas 135 PSI — siliconé","asg-ultrair-green-135-silicone","29","151.8","interpolated_manufacturer_grid","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","yes","19893","5707843091152","high","true"
"ASG Ultrair","Green Power Gas 135 PSI — siliconé","asg-ultrair-green-135-silicone","30","156","manufacturer_test_point","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","yes","19893","5707843091152","high","true"
"ASG Ultrair","Green Power Gas 135 PSI — siliconé","asg-ultrair-green-135-silicone","31","159.82","extrapolated_propane_ratio","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","yes","19893","5707843091152","high","true"
"ASG Ultrair","Green Power Gas 135 PSI — siliconé","asg-ultrair-green-135-silicone","32","163.71","extrapolated_propane_ratio","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","yes","19893","5707843091152","high","true"
"ASG Ultrair","Green Power Gas 135 PSI — siliconé","asg-ultrair-green-135-silicone","33","167.66","extrapolated_propane_ratio","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","yes","19893","5707843091152","high","true"
"ASG Ultrair","Green Power Gas 135 PSI — siliconé","asg-ultrair-green-135-silicone","34","171.68","extrapolated_propane_ratio","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","yes","19893","5707843091152","high","true"
"ASG Ultrair","Green Power Gas 135 PSI — siliconé","asg-ultrair-green-135-silicone","35","175.76","extrapolated_propane_ratio","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","yes","19893","5707843091152","high","true"
"ASG Ultrair","Green Power Gas 135 PSI — siliconé","asg-ultrair-green-135-silicone","36","179.91","extrapolated_propane_ratio","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","yes","19893","5707843091152","high","true"
"ASG Ultrair","Green Power Gas 135 PSI — siliconé","asg-ultrair-green-135-silicone","37","184.13","extrapolated_propane_ratio","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","yes","19893","5707843091152","high","true"
"ASG Ultrair","Green Power Gas 135 PSI — siliconé","asg-ultrair-green-135-silicone","38","188.42","extrapolated_propane_ratio","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","yes","19893","5707843091152","high","true"
"ASG Ultrair","Green Power Gas 135 PSI — siliconé","asg-ultrair-green-135-silicone","39","192.78","extrapolated_propane_ratio","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","yes","19893","5707843091152","high","true"
"ASG Ultrair","Green Power Gas 135 PSI — siliconé","asg-ultrair-green-135-silicone","40","197.21","extrapolated_propane_ratio","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","yes","19893","5707843091152","high","true"
"ASG Ultrair","Standard Power Gas 135 PSI — sec","asg-ultrair-green-135-dry","-15","56.64","extrapolated_propane_ratio","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","no","14571","5707843145718","medium","false"
"ASG Ultrair","Standard Power Gas 135 PSI — sec","asg-ultrair-green-135-dry","-14","58.62","extrapolated_propane_ratio","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","no","14571","5707843145718","medium","false"
"ASG Ultrair","Standard Power Gas 135 PSI — sec","asg-ultrair-green-135-dry","-13","60.65","extrapolated_propane_ratio","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","no","14571","5707843145718","medium","false"
"ASG Ultrair","Standard Power Gas 135 PSI — sec","asg-ultrair-green-135-dry","-12","62.73","extrapolated_propane_ratio","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","no","14571","5707843145718","medium","false"
"ASG Ultrair","Standard Power Gas 135 PSI — sec","asg-ultrair-green-135-dry","-11","64.87","extrapolated_propane_ratio","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","no","14571","5707843145718","medium","false"
"ASG Ultrair","Standard Power Gas 135 PSI — sec","asg-ultrair-green-135-dry","-10","67.07","extrapolated_propane_ratio","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","no","14571","5707843145718","medium","false"
"ASG Ultrair","Standard Power Gas 135 PSI — sec","asg-ultrair-green-135-dry","-9","69.31","extrapolated_propane_ratio","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","no","14571","5707843145718","medium","false"
"ASG Ultrair","Standard Power Gas 135 PSI — sec","asg-ultrair-green-135-dry","-8","71.62","extrapolated_propane_ratio","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","no","14571","5707843145718","medium","false"
"ASG Ultrair","Standard Power Gas 135 PSI — sec","asg-ultrair-green-135-dry","-7","73.98","extrapolated_propane_ratio","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","no","14571","5707843145718","medium","false"
"ASG Ultrair","Standard Power Gas 135 PSI — sec","asg-ultrair-green-135-dry","-6","76.39","extrapolated_propane_ratio","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","no","14571","5707843145718","medium","false"
"ASG Ultrair","Standard Power Gas 135 PSI — sec","asg-ultrair-green-135-dry","-5","78.87","extrapolated_propane_ratio","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","no","14571","5707843145718","medium","false"
"ASG Ultrair","Standard Power Gas 135 PSI — sec","asg-ultrair-green-135-dry","-4","81.4","extrapolated_propane_ratio","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","no","14571","5707843145718","medium","false"
"ASG Ultrair","Standard Power Gas 135 PSI — sec","asg-ultrair-green-135-dry","-3","84","extrapolated_propane_ratio","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","no","14571","5707843145718","medium","false"
"ASG Ultrair","Standard Power Gas 135 PSI — sec","asg-ultrair-green-135-dry","-2","86.65","extrapolated_propane_ratio","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","no","14571","5707843145718","medium","false"
"ASG Ultrair","Standard Power Gas 135 PSI — sec","asg-ultrair-green-135-dry","-1","89.37","extrapolated_propane_ratio","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","no","14571","5707843145718","medium","false"
"ASG Ultrair","Standard Power Gas 135 PSI — sec","asg-ultrair-green-135-dry","0","92.15","extrapolated_propane_ratio","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","no","14571","5707843145718","medium","false"
"ASG Ultrair","Standard Power Gas 135 PSI — sec","asg-ultrair-green-135-dry","1","94.99","extrapolated_propane_ratio","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","no","14571","5707843145718","medium","false"
"ASG Ultrair","Standard Power Gas 135 PSI — sec","asg-ultrair-green-135-dry","2","97.89","extrapolated_propane_ratio","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","no","14571","5707843145718","medium","false"
"ASG Ultrair","Standard Power Gas 135 PSI — sec","asg-ultrair-green-135-dry","3","100.86","extrapolated_propane_ratio","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","no","14571","5707843145718","medium","false"
"ASG Ultrair","Standard Power Gas 135 PSI — sec","asg-ultrair-green-135-dry","4","103.9","extrapolated_propane_ratio","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","no","14571","5707843145718","medium","false"
"ASG Ultrair","Standard Power Gas 135 PSI — sec","asg-ultrair-green-135-dry","5","107","manufacturer_test_point","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","no","14571","5707843145718","medium","false"
"ASG Ultrair","Standard Power Gas 135 PSI — sec","asg-ultrair-green-135-dry","6","108.4","interpolated_manufacturer_grid","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","no","14571","5707843145718","medium","false"
"ASG Ultrair","Standard Power Gas 135 PSI — sec","asg-ultrair-green-135-dry","7","109.8","interpolated_manufacturer_grid","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","no","14571","5707843145718","medium","false"
"ASG Ultrair","Standard Power Gas 135 PSI — sec","asg-ultrair-green-135-dry","8","111.2","interpolated_manufacturer_grid","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","no","14571","5707843145718","medium","false"
"ASG Ultrair","Standard Power Gas 135 PSI — sec","asg-ultrair-green-135-dry","9","112.6","interpolated_manufacturer_grid","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","no","14571","5707843145718","medium","false"
"ASG Ultrair","Standard Power Gas 135 PSI — sec","asg-ultrair-green-135-dry","10","114","manufacturer_test_point","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","no","14571","5707843145718","medium","true"
"ASG Ultrair","Standard Power Gas 135 PSI — sec","asg-ultrair-green-135-dry","11","115.4","interpolated_manufacturer_grid","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","no","14571","5707843145718","medium","true"
"ASG Ultrair","Standard Power Gas 135 PSI — sec","asg-ultrair-green-135-dry","12","116.8","interpolated_manufacturer_grid","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","no","14571","5707843145718","medium","true"
"ASG Ultrair","Standard Power Gas 135 PSI — sec","asg-ultrair-green-135-dry","13","118.2","interpolated_manufacturer_grid","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","no","14571","5707843145718","medium","true"
"ASG Ultrair","Standard Power Gas 135 PSI — sec","asg-ultrair-green-135-dry","14","119.6","interpolated_manufacturer_grid","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","no","14571","5707843145718","medium","true"
"ASG Ultrair","Standard Power Gas 135 PSI — sec","asg-ultrair-green-135-dry","15","121","manufacturer_test_point","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","no","14571","5707843145718","medium","true"
"ASG Ultrair","Standard Power Gas 135 PSI — sec","asg-ultrair-green-135-dry","16","122.8","interpolated_manufacturer_grid","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","no","14571","5707843145718","medium","true"
"ASG Ultrair","Standard Power Gas 135 PSI — sec","asg-ultrair-green-135-dry","17","124.6","interpolated_manufacturer_grid","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","no","14571","5707843145718","medium","true"
"ASG Ultrair","Standard Power Gas 135 PSI — sec","asg-ultrair-green-135-dry","18","126.4","interpolated_manufacturer_grid","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","no","14571","5707843145718","medium","true"
"ASG Ultrair","Standard Power Gas 135 PSI — sec","asg-ultrair-green-135-dry","19","128.2","interpolated_manufacturer_grid","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","no","14571","5707843145718","medium","true"
"ASG Ultrair","Standard Power Gas 135 PSI — sec","asg-ultrair-green-135-dry","20","130","manufacturer_test_point","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","no","14571","5707843145718","medium","true"
"ASG Ultrair","Standard Power Gas 135 PSI — sec","asg-ultrair-green-135-dry","21","131","interpolated_manufacturer_grid","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","no","14571","5707843145718","medium","true"
"ASG Ultrair","Standard Power Gas 135 PSI — sec","asg-ultrair-green-135-dry","22","132","interpolated_manufacturer_grid","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","no","14571","5707843145718","medium","true"
"ASG Ultrair","Standard Power Gas 135 PSI — sec","asg-ultrair-green-135-dry","23","133","interpolated_manufacturer_grid","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","no","14571","5707843145718","medium","true"
"ASG Ultrair","Standard Power Gas 135 PSI — sec","asg-ultrair-green-135-dry","24","134","interpolated_manufacturer_grid","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","no","14571","5707843145718","medium","true"
"ASG Ultrair","Standard Power Gas 135 PSI — sec","asg-ultrair-green-135-dry","25","135","manufacturer_test_point","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","no","14571","5707843145718","medium","true"
"ASG Ultrair","Standard Power Gas 135 PSI — sec","asg-ultrair-green-135-dry","26","139.2","interpolated_manufacturer_grid","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","no","14571","5707843145718","medium","true"
"ASG Ultrair","Standard Power Gas 135 PSI — sec","asg-ultrair-green-135-dry","27","143.4","interpolated_manufacturer_grid","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","no","14571","5707843145718","medium","true"
"ASG Ultrair","Standard Power Gas 135 PSI — sec","asg-ultrair-green-135-dry","28","147.6","interpolated_manufacturer_grid","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","no","14571","5707843145718","medium","true"
"ASG Ultrair","Standard Power Gas 135 PSI — sec","asg-ultrair-green-135-dry","29","151.8","interpolated_manufacturer_grid","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","no","14571","5707843145718","medium","true"
"ASG Ultrair","Standard Power Gas 135 PSI — sec","asg-ultrair-green-135-dry","30","156","manufacturer_test_point","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","no","14571","5707843145718","medium","true"
"ASG Ultrair","Standard Power Gas 135 PSI — sec","asg-ultrair-green-135-dry","31","159.82","extrapolated_propane_ratio","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","no","14571","5707843145718","medium","true"
"ASG Ultrair","Standard Power Gas 135 PSI — sec","asg-ultrair-green-135-dry","32","163.71","extrapolated_propane_ratio","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","no","14571","5707843145718","medium","true"
"ASG Ultrair","Standard Power Gas 135 PSI — sec","asg-ultrair-green-135-dry","33","167.66","extrapolated_propane_ratio","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","no","14571","5707843145718","medium","true"
"ASG Ultrair","Standard Power Gas 135 PSI — sec","asg-ultrair-green-135-dry","34","171.68","extrapolated_propane_ratio","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","no","14571","5707843145718","medium","true"
"ASG Ultrair","Standard Power Gas 135 PSI — sec","asg-ultrair-green-135-dry","35","175.76","extrapolated_propane_ratio","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","no","14571","5707843145718","medium","true"
"ASG Ultrair","Standard Power Gas 135 PSI — sec","asg-ultrair-green-135-dry","36","179.91","extrapolated_propane_ratio","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","no","14571","5707843145718","medium","true"
"ASG Ultrair","Standard Power Gas 135 PSI — sec","asg-ultrair-green-135-dry","37","184.13","extrapolated_propane_ratio","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","no","14571","5707843145718","medium","true"
"ASG Ultrair","Standard Power Gas 135 PSI — sec","asg-ultrair-green-135-dry","38","188.42","extrapolated_propane_ratio","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","no","14571","5707843145718","medium","true"
"ASG Ultrair","Standard Power Gas 135 PSI — sec","asg-ultrair-green-135-dry","39","192.78","extrapolated_propane_ratio","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","no","14571","5707843145718","medium","true"
"ASG Ultrair","Standard Power Gas 135 PSI — sec","asg-ultrair-green-135-dry","40","197.21","extrapolated_propane_ratio","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","no","14571","5707843145718","medium","true"
"ASG Ultrair","Orange Medium Power 164 PSI — sec","asg-ultrair-orange-164-dry","-15","64.05","extrapolated_propane_ratio","164","25","manufacturer_grid_piecewise_linear","asg-ultrair-orange-164-dry","no","","","high","false"
"ASG Ultrair","Orange Medium Power 164 PSI — sec","asg-ultrair-orange-164-dry","-14","66.29","extrapolated_propane_ratio","164","25","manufacturer_grid_piecewise_linear","asg-ultrair-orange-164-dry","no","","","high","false"
"ASG Ultrair","Orange Medium Power 164 PSI — sec","asg-ultrair-orange-164-dry","-13","68.58","extrapolated_propane_ratio","164","25","manufacturer_grid_piecewise_linear","asg-ultrair-orange-164-dry","no","","","high","false"
"ASG Ultrair","Orange Medium Power 164 PSI — sec","asg-ultrair-orange-164-dry","-12","70.94","extrapolated_propane_ratio","164","25","manufacturer_grid_piecewise_linear","asg-ultrair-orange-164-dry","no","","","high","false"
"ASG Ultrair","Orange Medium Power 164 PSI — sec","asg-ultrair-orange-164-dry","-11","73.36","extrapolated_propane_ratio","164","25","manufacturer_grid_piecewise_linear","asg-ultrair-orange-164-dry","no","","","high","false"
"ASG Ultrair","Orange Medium Power 164 PSI — sec","asg-ultrair-orange-164-dry","-10","75.84","extrapolated_propane_ratio","164","25","manufacturer_grid_piecewise_linear","asg-ultrair-orange-164-dry","no","","","high","false"
"ASG Ultrair","Orange Medium Power 164 PSI — sec","asg-ultrair-orange-164-dry","-9","78.38","extrapolated_propane_ratio","164","25","manufacturer_grid_piecewise_linear","asg-ultrair-orange-164-dry","no","","","high","false"
"ASG Ultrair","Orange Medium Power 164 PSI — sec","asg-ultrair-orange-164-dry","-8","80.99","extrapolated_propane_ratio","164","25","manufacturer_grid_piecewise_linear","asg-ultrair-orange-164-dry","no","","","high","false"
"ASG Ultrair","Orange Medium Power 164 PSI — sec","asg-ultrair-orange-164-dry","-7","83.66","extrapolated_propane_ratio","164","25","manufacturer_grid_piecewise_linear","asg-ultrair-orange-164-dry","no","","","high","false"
"ASG Ultrair","Orange Medium Power 164 PSI — sec","asg-ultrair-orange-164-dry","-6","86.39","extrapolated_propane_ratio","164","25","manufacturer_grid_piecewise_linear","asg-ultrair-orange-164-dry","no","","","high","false"
"ASG Ultrair","Orange Medium Power 164 PSI — sec","asg-ultrair-orange-164-dry","-5","89.19","extrapolated_propane_ratio","164","25","manufacturer_grid_piecewise_linear","asg-ultrair-orange-164-dry","no","","","high","false"
"ASG Ultrair","Orange Medium Power 164 PSI — sec","asg-ultrair-orange-164-dry","-4","92.05","extrapolated_propane_ratio","164","25","manufacturer_grid_piecewise_linear","asg-ultrair-orange-164-dry","no","","","high","false"
